Filename,Record,AnnType
1,00735,(N
2,00735,(N
3,00735,(N
4,00735,(N
5,00735,(N
6,00735,(N
7,00735,(N
8,00735,(N
9,00735,(N
10,00735,(N
11,00735,(N
12,00735,(N
13,00735,(N
14,00735,(N
15,00735,(N
16,00735,(N
17,00735,(N
18,00735,(N
19,00735,(N
20,00735,(N
21,00735,(N
22,00735,(N
23,00735,(N
24,00735,(N
25,00735,(N
26,00735,(N
27,00735,(N
28,00735,(N
29,00735,(N
30,00735,(N
31,00735,(N
32,00735,(N
33,00735,(N
34,00735,(N
35,00735,(N
36,00735,(N
37,00735,(N
38,00735,(N
39,00735,(N
40,00735,(N
41,00735,(N
42,00735,(N
43,00735,(N
44,00735,(N
45,00735,(N
46,00735,(N
47,00735,(N
48,00735,(N
49,00735,(N
50,00735,(N
51,00735,(N
52,00735,(AFIB
53,00735,(AFIB
54,00735,(AFIB
55,00735,(AFIB
56,00735,(AFIB
57,00735,(N
58,00735,(N
59,00735,(N
60,00735,(N
61,00735,(N
62,00735,(N
63,00735,(N
64,00735,(N
65,00735,(N
66,00735,(N
67,00735,(N
68,00735,(N
69,00735,(N
70,00735,(N
71,00735,(N
72,00735,(N
73,00735,(N
74,00735,(N
75,00735,(N
76,00735,(N
77,00735,(N
78,00735,(N
79,00735,(N
80,00735,(N
81,00735,(N
82,00735,(N
83,00735,(N
84,00735,(N
85,00735,(N
86,00735,(N
87,00735,(N
88,00735,(N
89,00735,(N
90,00735,(N
91,00735,(N
92,00735,(N
93,00735,(N
94,00735,(N
95,00735,(N
96,00735,(N
97,00735,(N
98,00735,(N
99,00735,(N
100,00735,(N
101,00735,(N
102,00735,(N
103,00735,(N
104,00735,(N
105,00735,(N
106,00735,(N
107,00735,(N
108,00735,(N
109,00735,(N
110,00735,(N
111,00735,(N
112,00735,(N
113,00735,(N
114,00735,(N
115,00735,(N
116,00735,(N
117,00735,(N
118,00735,(N
119,00735,(N
120,00735,(N
121,00735,(N
122,00735,(N
123,00735,(N
124,00735,(N
125,00735,(N
126,00735,(N
127,00735,(N
128,00735,(N
129,00735,(N
130,00735,(N
131,00735,(N
132,00735,(N
133,00735,(N
134,00735,(N
135,00735,(N
136,00735,(N
137,00735,(N
138,00735,(N
139,00735,(N
140,00735,(N
141,00735,(N
142,00735,(N
143,00735,(N
144,00735,(N
145,00735,(N
146,00735,(N
147,00735,(N
148,00735,(N
149,00735,(N
150,00735,(N
151,00735,(N
152,00735,(N
153,00735,(N
154,00735,(N
155,00735,(N
156,00735,(N
157,00735,(N
158,00735,(N
159,00735,(N
160,00735,(N
161,00735,(N
162,00735,(N
163,00735,(N
164,00735,(N
165,00735,(N
166,00735,(N
167,00735,(N
168,00735,(N
169,00735,(N
170,00735,(N
171,00735,(N
172,00735,(N
173,00735,(N
174,00735,(N
175,00735,(N
176,00735,(N
177,00735,(N
178,00735,(N
179,00735,(N
180,00735,(N
181,00735,(N
182,00735,(N
183,00735,(N
184,00735,(N
185,00735,(N
186,00735,(N
187,00735,(N
188,00735,(N
189,00735,(N
190,00735,(N
191,00735,(N
192,00735,(N
193,00735,(N
194,00735,(N
195,00735,(N
196,00735,(N
197,00735,(N
198,00735,(N
199,00735,(N
200,00735,(N
201,00735,(N
202,00735,(N
203,00735,(N
204,00735,(N
205,00735,(N
206,00735,(N
207,00735,(N
208,00735,(N
209,00735,(N
210,00735,(N
211,00735,(N
212,00735,(N
213,00735,(N
214,00735,(N
215,00735,(N
216,00735,(N
217,00735,(N
218,00735,(N
219,00735,(N
220,00735,(N
221,00735,(N
222,00735,(N
223,00735,(N
224,00735,(N
225,00735,(N
226,00735,(N
227,00735,(N
228,00735,(N
229,00735,(N
230,00735,(N
231,00735,(N
232,00735,(N
233,00735,(N
234,00735,(N
235,00735,(N
236,00735,(N
237,00735,(N
238,00735,(N
239,00735,(N
240,00735,(N
241,00735,(N
242,00735,(N
243,00735,(N
244,00735,(N
245,00735,(N
246,00735,(N
247,00735,(N
248,00735,(N
249,00735,(N
250,00735,(N
251,00735,(N
252,00735,(N
253,00735,(N
254,00735,(N
255,00735,(N
256,00735,(N
257,00735,(N
258,00735,(N
259,00735,(N
260,00735,(N
261,00735,(N
262,00735,(N
263,00735,(N
264,00735,(N
265,00735,(N
266,00735,(N
267,00735,(N
268,00735,(N
269,00735,(N
270,00735,(N
271,00735,(N
272,00735,(N
273,00735,(N
274,00735,(N
275,00735,(N
276,00735,(N
277,00735,(N
278,00735,(N
279,00735,(N
280,00735,(N
281,00735,(N
282,00735,(N
283,00735,(N
284,00735,(N
285,00735,(N
286,00735,(N
287,00735,(N
288,00735,(N
289,00735,(N
290,00735,(N
291,00735,(N
292,00735,(N
293,00735,(N
294,00735,(N
295,00735,(N
296,00735,(N
297,00735,(N
298,00735,(N
299,00735,(N
300,00735,(N
301,00735,(N
302,00735,(N
303,00735,(N
304,00735,(N
305,00735,(N
306,00735,(N
307,00735,(N
308,00735,(N
309,00735,(N
310,00735,(N
311,00735,(N
312,00735,(N
313,00735,(N
314,00735,(N
315,00735,(N
316,00735,(N
317,00735,(N
318,00735,(N
319,00735,(N
320,00735,(N
321,00735,(N
322,00735,(N
323,00735,(N
324,00735,(N
325,00735,(N
326,00735,(N
327,00735,(N
328,00735,(N
329,00735,(N
330,00735,(N
331,00735,(N
332,00735,(N
333,00735,(N
334,00735,(N
335,00735,(N
336,00735,(N
337,00735,(N
338,00735,(N
339,00735,(N
340,00735,(N
341,00735,(N
342,00735,(N
343,00735,(N
344,00735,(N
345,00735,(N
346,00735,(N
347,00735,(N
348,00735,(N
349,00735,(N
350,00735,(N
351,00735,(N
352,00735,(N
353,00735,(N
354,00735,(N
355,00735,(N
356,00735,(N
357,00735,(N
358,00735,(N
359,00735,(N
360,00735,(N
361,00735,(N
362,00735,(N
363,00735,(N
364,00735,(N
365,00735,(N
366,00735,(N
367,00735,(N
368,00735,(N
369,00735,(N
370,00735,(N
371,00735,(N
372,00735,(N
373,00735,(N
374,00735,(N
375,00735,(N
376,00735,(N
377,00735,(N
378,00735,(N
379,00735,(N
380,00735,(N
381,00735,(N
382,00735,(N
383,00735,(N
384,00735,(N
385,00735,(N
386,00735,(N
387,00735,(N
388,00735,(N
389,00735,(N
390,00735,(N
391,00735,(N
392,00735,(N
393,00735,(N
394,00735,(N
395,00735,(N
396,00735,(N
397,00735,(N
398,00735,(N
399,00735,(N
400,00735,(N
401,00735,(N
402,00735,(N
403,00735,(N
404,00735,(N
405,00735,(N
406,00735,(N
407,00735,(N
408,00735,(N
409,00735,(N
410,00735,(N
411,00735,(N
412,00735,(N
413,00735,(N
414,00735,(N
415,00735,(N
416,00735,(N
417,00735,(N
418,00735,(N
419,00735,(N
420,00735,(N
421,00735,(N
422,00735,(N
423,00735,(N
424,00735,(N
425,00735,(N
426,00735,(N
427,00735,(N
428,00735,(N
429,00735,(N
430,00735,(N
431,00735,(N
432,00735,(N
433,00735,(N
434,00735,(N
435,00735,(N
436,00735,(N
437,00735,(N
438,00735,(N
439,00735,(N
440,00735,(N
441,00735,(N
442,00735,(N
443,00735,(N
444,00735,(N
445,00735,(N
446,00735,(N
447,00735,(N
448,00735,(N
449,00735,(N
450,00735,(N
451,00735,(N
452,00735,(N
453,00735,(N
454,00735,(N
455,00735,(N
456,00735,(N
457,00735,(N
458,00735,(N
459,00735,(N
460,00735,(N
461,00735,(N
462,00735,(N
463,00735,(N
464,00735,(N
465,00735,(N
466,00735,(N
467,00735,(N
468,00735,(N
469,00735,(N
470,00735,(N
471,00735,(N
472,00735,(N
473,00735,(N
474,00735,(N
475,00735,(N
476,00735,(N
477,00735,(N
478,00735,(N
479,00735,(N
480,00735,(N
481,00735,(N
482,00735,(N
483,00735,(N
484,00735,(N
485,00735,(N
486,00735,(N
487,00735,(N
488,00735,(N
489,00735,(N
490,00735,(N
491,00735,(N
492,00735,(N
493,00735,(N
494,00735,(N
495,00735,(N
496,00735,(N
497,00735,(N
498,00735,(N
499,00735,(N
500,00735,(N
501,00735,(N
502,00735,(N
503,00735,(N
504,00735,(N
505,00735,(N
506,00735,(N
507,00735,(N
508,00735,(N
509,00735,(N
510,00735,(N
511,00735,(N
512,00735,(N
